image_name,gpt4o_zero_shot,gpt4o_few_shot,gpt4o_cot,gpt4o_cot_reasoning,gemini_zero_shot,gemini_few_shot,gemini_cot,gemini_cot_reasoning,timestamp
mama_the_storyteller_page_20.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه ولغة الجسد تظهر ابتسامة واحتضان دافئ، مع وجود عناصر طبيعية مثل الشمس والقمح والسفن التي تضفي جوًا من الهدوء والراحة.

٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,الطفلة تحتضن والدتها وعيناها مغمضتان، ووالدتها مبتسمة وعيناها مغمضتان أيضًا.,2025-05-23 19:10:48
tomorrow_I_will_be_page_19.png,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"١. تعابير الوجه ولغة الجسد تظهر ترددًا أو حذرًا، حيث ينظر الطفل إلى الجانب مع رفع يده قليلاً. البيئة المحيطة بالغابة والفراشات تضيف إلى الشعور بالترقب.

٢. الشعور الأساسي الظاهر هو ترقب.",ﺓﺄﺟﺎﻔﻣ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,يظهر الطفل في الصورة واقفًا في الغابة، ينظر حوله بعينين مفتوحتين قليلاً، ويده مرفوعة قليلاً بالقرب من وجهه.  يبدو مترددًا بعض الشيء، ووجهه خالٍ من الابتسامة.,2025-05-23 19:12:34
why_did_the_electricity_escape_page_17.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه تظهر ابتسامات واهتمام، ولغة الجسد تشير إلى تفاعل إيجابي بين الشخصيات.

٢. الشعور الأساسي الظاهر هو سعادة.",ﺓﺄﺟﺎﻔﻣ,ﺐﻗﺮﺗ,ﺓﺄﺟﺎﻔﻣ,عيون الأطفال مفتوحة على اتساعها، وابتساماتهم عريضة، ويشيرون بأصابعهم إلى شيء ما. يبدو أنهم مندهشون من شيء ما.,2025-05-23 19:14:10
tomorrow_I_will_be_page_30.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. يظهر الطفل مبتسمًا ومتحمسًا وهو يشير إلى الأمام، مما يدل على الحماس والفرح. الفيل يبدو مستمتعًا أيضًا.

٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,الطفل يبتسم ويُشير بيده، ويركب على ظهر فيل.  يبدو أنه متحمس للذهاب إلى الطائرة.,2025-05-23 19:15:36
sun_and_suns_page_12.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه للنجم والطفل تظهر الابتسامة، مما يدل على السعادة. لغة الجسد تشير إلى التفاعل الإيجابي بينهما.  
٢. الشعور الأساسي الظاهر هو السعادة.  
٣.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"يبتسم الطفل والنجمة، ويبدو أنهما يستمتعان بوقتهما معًا.  النجمة تشير إلى المدينة، مما يوحي بالتفاعل والمرح.

سعادة",2025-05-23 19:16:50
kenan_and_watermelon_head_page_41.png,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,"١. تعابير الوجه ولغة الجسد تظهر دهشة وإعجاب، حيث ينظر الطلاب إلى الشخص الذي يلعب بالكرات الورقية بانبهار، وبعضهم يصفق.

٢. الشعور الأساسي الظاهر هو مفاجأة.",ﺓﺩﺎﻌﺳ,ﺔﻘﺛ,ﺓﺩﺎﻌﺳ,"يبتسم الطفل وهو يلقي كرات الورق، ويصفق له زملاؤه في الفصل.  يبدو أنهم معجبون بمهارته.

سعادة",2025-05-23 19:17:52
who_defeated_the_evil_of_extravagance_page_17.png,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"١. الفتاة التي تتحدث تبدو مترددة أو متسائلة، بينما الشخص الجالس يبدو مستمعًا باهتمام. الأطفال الآخرون يظهرون اهتمامًا أو فضولًا.

٢. الشعور الأساسي الظاهر هو ""ترقب"".",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺐﻀﻏ,الأطفال ينظرون إلى أخيهم الأكبر، ودانية تتحدث إليه بنبرة استنكارية.  الأم تجلس على الأريكة وتراقب الموقف.,2025-05-23 19:19:13
mama_the_storyteller_page_19.png,ﺓﺄﺟﺎﻔﻣ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"١. الصورة تحتوي على عناصر خيالية مثل السحب والنجوم، مع تعابير وجه هادئة ومريحة، مما يدل على جو من الهدوء والخيال.

٢. الشعور الأساسي الظاهر هو ""ترقب"".",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"تظهر تعابير وجوه الأطفال في الصورة مشاعر إيجابية، حيث يبتسمون ويبدون مستمتعين.  كما أن العناصر السياقية مثل الألوان الزاهية والنجوم المتلألئة والحيوانات اللطيفة تعزز هذه المشاعر.

سعادة",2025-05-23 19:20:16
why_did_the_electricity_escape_page_12.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. الشخصيات في الصورة تبتسم وتبدو سعيدة، مما يدل على جو إيجابي ومريح.  
٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"عيون الطفلان مفتوحة على اتساعها، وفمهما مفتوحان في ابتسامة عريضة. يرفع الطفل على اليمين يده في إشارة تحية.

سعادة",2025-05-23 19:22:31
who_defeated_the_evil_of_extravagance_page_5.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد تشير إلى حركة ترحيبية، مما يدل على شعور إيجابي.  
٢. الشعور الأساسي الظاهر هو سعادة.  
٣.",ﺓﺩﺎﻌﺳ,ﺔﻘﺛ,ﺓﺩﺎﻌﺳ,يبتسم الطفل ابتسامة عريضة، ويشير بيده إلى مبنى ملون، مما يدل على شعور إيجابي.  يبدو متحمسًا لعرض شيء ما.,2025-05-23 19:23:52
who_defeated_the_evil_of_extravagance_page_16.png,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"١. تعابير الوجه ولغة الجسد تظهر توترًا وقلقًا، حيث يبدو أن الشخصيات تتابع الموقف بترقب واهتمام.  
٢. الشعور الأساسي الظاهر هو ترقب.",ﺓﺄﺟﺎﻔﻣ,ﻑﻮﺧ,ﺐﻗﺮﺗ,الأطفال ينظرون إلى الأب بانتباه، والأب يشير بيده إلى شيء ما. تعابير وجوههم تدل على الانتباه والتركيز.,2025-05-23 19:25:11
kenan_and_watermelon_head_page_46.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. الفتاة الصغيرة تبتسم وتركض بفرح، وهناك زينة وعبارات ترحيب، مما يدل على جو احتفالي وسعيد.

٢. الشعور الأساسي الظاهر هو سعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,الفتاة تبتسم وتقفز بسعادة، وذراعيها مفتوحتان، في حفلة مليئة بالبالونات الملونة.  يبدو أن العائلة سعيدة أيضًا لاستقبالها.,2025-05-23 19:26:29
who_defeated_the_evil_of_extravagance_page_14.png,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,"١. يظهر الطفل بتعابير وجه متفاجئة، حيث ينظر إلى الأعلى مع فتح فمه قليلاً، وهناك ضوء ساطع من المصابيح رغم أن الوقت نهار.

٢. الشعور الأساسي الظاهر هو مفاجأة.",ﻑﻮﺧ,ﻑﻮﺧ,ﺓﺄﺟﺎﻔﻣ,ينظر الطفل إلى الأعلى نحو المصباح بعينين مفتوحتين قليلاً وفم مفتوح قليلاً.  يبدو أنه لاحظ شيئًا ما.,2025-05-23 19:27:53
who_defeated_the_evil_of_extravagance_page_7.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه ولغة الجسد تظهر الفرح والمرح، حيث يبتسم الجميع ويرفعون أيديهم في الهواء، مما يدل على جو من السعادة والاحتفال.

٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"الأب والأم والأطفال يبتسمون ويرفعون أيديهم، ويبدو أنهم يرقصون. تعابير وجوههم تدل على الفرح والمرح.

سعادة",2025-05-23 19:29:08
who_defeated_the_evil_of_extravagance_page_6.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه ولغة الجسد في الصورة تظهر الابتسامات والضحك، مع حركة نشطة ورفع الأيدي، مما يدل على جو من المرح والبهجة.  
٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,الأب والأم والأطفال يبتسمون ويضحكون.  الأب يصافح ابنه، والأم تراقبهم بسعادة، والابنة الصغيرة تركض.,2025-05-23 19:30:15
sun_and_suns_page_14.png,ﺐﻀﻏ,ﺐﻀﻏ,ﺐﻀﻏ,"١. يظهر الشخص جالسًا على الشرفة ممسكًا بورقة، ويبدو على وجهه تعبير الغضب الشديد.

٢. الشعور الأساسي الظاهر هو الغضب.",ﺐﻀﻏ,ﺔﻘﺛ,ﺐﻀﻏ,"الرجل يمسك بورقة ويبدو على وجهه الغضب الشديد.

غضب",2025-05-23 19:31:21
kenan_and_watermelon_head_page_34.png,ﺐﻀﻏ,ﺐﻀﻏ,ﺐﻀﻏ,"١. تعابير الوجه الغاضبة ولون الوجه المحمر تدل على الغضب، بالإضافة إلى الكلمات المستخدمة في النص مثل ""مخمّر من شدة الإحراج والغضب"".

٢. الشعور الأساسي الظاهر هو الغضب.",ﺐﻀﻏ,ﺐﻀﻏ,ﺐﻀﻏ,"حاجبا المانجو معقودان، وعيناها مفتوحتان، وفمها معقود إلى الأسفل.  الفوضى من حولها تشير إلى أنها غاضبة من شيء ما.

غضب",2025-05-23 19:32:36
open_tap_page_9.png,ﻑﻮﺧ,ﻑﻮﺧ,ﻑﻮﺧ,"١. تعابير الوجه تظهر توترًا وقلقًا، حيث يبدو الطفل مرتجفًا ويحاول فتح الصنبور دون جدوى، مما يشير إلى شعوره بالبرد وعدم الراحة.

٢. الشعور الأساسي الظاهر هو ""خوف"".",ﻑﻮﺧ,ﺓﺩﺎﻌﺳ,ﻑﻮﺧ,يظهر الطفل في حوض الاستحمام وهو يرتجف من البرد، ويحاول فتح صنبور الماء الساخن دون جدوى. عيناه مفتوحتان على اتساعهما، وفمه مفتوح في تعبير يشير إلى الخوف والقلق.,2025-05-23 19:33:41
tomorrow_I_will_be_page_44.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد توحي بالراحة والاستمتاع، مع وجود عناصر طبيعية محيطة بالشخصية.

٢. الشعور الأساسي الظاهر هو سعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يظهر الطفل وهو يبتسم ويمسك رأسه بيده، ويبدو أنه يستمتع بوقته في الغابة.  يبدو أنه يركب حيوانًا كبيرًا.,2025-05-23 19:34:40
tomorrow_I_will_be_page_9.png,ﺓﺄﺟﺎﻔﻣ,ﺔﻘﺛ,ﺐﻗﺮﺗ,"١( يبدو أن الطفل مستيقظ في السرير، يرفع يديه للأعلى، مما قد يدل على الاستعداد أو النشاط. البيئة المحيطة مليئة بالألوان الزاهية والنباتات.

٢( الشعور الأساسي الظاهر هو ترقب.",ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,"يرفع الطفل يديه لأعلى ووجهه يبدو متفاجئًا. يبدو أنه مستيقظًا في سريره في الغابة.

مفاجأة",2025-05-23 19:35:59
kenan_and_watermelon_head_page_35.png,ﺓﺩﺎﻌﺳ,ﻑﻮﺧ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه ولغة الجسد تظهر ضحك الأطفال، مما يدل على جو من المرح والضحك في الصف.

٢. الشعور الأساسي الظاهر هو سعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"يبتسم الطفل في المقدمة ويبدو مسترخيًا، بينما يضحك الأطفال الآخرون في الخلفية.  يبدو أنهم يستمتعون بوقتهم في الفصل.

سعادة",2025-05-23 19:37:18
kenan_and_watermelon_head_page_37.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. يظهر الطفل مبتسمًا ويقفز بحماس، مما يدل على شعوره بالفرح والاستعداد.

٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يبتسم الطفل ابتسامة عريضة، وعيناه مغمضتان جزئيًا، وهو يركض باتجاه حقيبة السفر. يداه مرفوعتان قليلاً، مما يدل على الحماس.,2025-05-23 19:38:18
why_did_the_electricity_escape_page_8.png,ﺔﻘﺛ,ﺔﻘﺛ,ﺔﻘﺛ,"١. يظهر في الصورة طفل يركض نحو شخص يبدو أنه والدته، مبتسمًا وذراعيه مفتوحتين، مما يدل على شعور بالثقة والاطمئنان.

٢. الشعور الأساسي الظاهر هو ثقة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,الأطفال يبتسمون والأم تبتسم.  الأطفال يركضون نحو الأم والأم تمد يديها لهم.,2025-05-23 19:39:32
tomorrow_I_will_be_page_47.png,ﺔﻘﺛ,ﺐﻗﺮﺗ,ﺔﻘﺛ,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد توحي بالحماس أو النشاط، مع وجود جرس في الخلفية يشير إلى سياق عمل أو طوارئ.

٢. الشعور الأساسي الظاهر هو ""ثقة"".",ﺓﺩﺎﻌﺳ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,الطفل يرتدي زي رجل إطفاء وينزلق على عمود، عيناه مفتوحتان وفمه مفتوح قليلاً، وهناك خطوط حركة حوله. يبدو أنه متحمس ومركز على النزول بسرعة.,2025-05-23 19:41:33
kenan_and_watermelon_head_page_28 (1).png,ﻥﺰﺣ,ﻥﺰﺣ,ﺐﻀﻏ,"١. تعابير وجه كنان تظهر الانزعاج، ولغة جسده تدل على التوتر، حيث يحمل كتبه بإحكام. الفوضى في الصف تشير إلى موقف غير مريح.

٢. الشعور الأساسي الظاهر هو الغضب.",ﺐﻀﻏ,ﺐﻀﻏ,ﺐﻀﻏ,"حاجبا الصبي معقودان، وفمه متجه للأسفل قليلاً.  يبدو أنه ينظر إلى زملائه في الفصل الذين يزعجونه.

غضب",2025-05-23 19:42:46
open_tap_page_20.png,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,"١. تعابير الوجه تظهر انزعاجًا مع عين مغمضة وابتسامة متوترة، وقطرة الماء الباردة تسقط على رأسه، مما يشير إلى شعور بالمفاجأة.

٢. الشعور الأساسي الظاهر هو مفاجأة.",ﻑﻮﺧ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يظهر الطفل وهو يغلق إحدى عينيه ويبتسم ابتسامة عريضة، ويبدو أنه يتذكر شيئًا ما.  يظهر في فقاعة التفكير صورة له وهو يغسل أسنانه.,2025-05-23 19:43:45
kenan_and_watermelon_head_page_32.png,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,"١. تعابير الوجه ولغة الجسد تظهر الدهشة والخوف، حيث يفتح الشخص فمه وعيناه متسعتان، وهناك فوضى في المكان مع تطاير الأوراق والأشياء.

٢. الشعور الأساسي الظاهر هو مفاجأة.",ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,فم الطفل مفتوح وعيناه مفتوحتان على مصراعيهما، ويداه على وجهه. الأدوات المدرسية تتطاير حوله.,2025-05-23 19:45:02
sun_and_suns_page_8.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه تظهر ابتسامة عريضة وعينين مفتوحتين، مما يدل على الفرح. النص يشير إلى فهم خالد لشيء ما، مما يعزز الشعور بالرضا.

٢. الشعور الأساسي الظاهر هو سعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يظهر الطفل ابتسامة عريضة وفمه مفتوح، مما يدل على شعور إيجابي.  يبدو الطفل سعيدًا بفهمه للموقف.,2025-05-23 19:46:04
tomorrow_I_will_be_page_43.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه ولغة الجسد تظهر ابتسامة واهتمامًا، حيث تجلس الأم والطفلة معًا بارتياح أثناء قراءة القصة.

٢. الشعور الأساسي الظاهر هو السعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,تظهر الأم والطفلة ابتسامات خفيفة، وتتشاركان لحظة هادئة لقراءة قصة قبل النوم.  يبدو أنهما مستمتعتان بوقتهما معًا.,2025-05-23 19:47:14
sun_and_suns_page_9.png,ﺔﻘﺛ,ﺔﻘﺛ,ﺔﻘﺛ,"١. الصورة تحتوي على شمس مشرقة ومباني مضيئة، مما يوحي بجو إيجابي ومشرق. النص يتحدث عن استخدام الشمس في النهار ونسيان شكر الله، مما يعكس نوعًا من التأمل أو الوعي.

٢. الشعور الأساسي الظاهر هو ""ثقة""، حيث أن النص يعبر عن الاعتماد على الشمس في النهار.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺪﻳﺎﺤﻣ,"الصورة لا تُظهر أي تعابير وجه أو لغة جسد. السياق العام للصورة يدل على مشهد هادئ في مدينة مضاءة بنوافذ مضيئة وشمس ساطعة.

محايد",2025-05-23 19:48:29
open_tap_page_21.png,ﺓﺄﺟﺎﻔﻣ,ﻑﻮﺧ,ﺓﺄﺟﺎﻔﻣ,"١. تعابير الوجه تظهر اتساع العينين والفم المفتوح، مما يدل على الدهشة أو المفاجأة. اليد ممدودة نحو الصنبور، مما يشير إلى محاولة إيقاف الماء.

٢. الشعور الأساسي الظاهر هو مفاجأة.",ﻥﺰﺣ,ﻑﻮﺧ,ﻥﺰﺣ,عيون الطفل مفتوحة على اتساعها، وخدوده حمراء، وهو ينظر إلى قطرة الماء المتساقطة.,2025-05-23 19:49:41
tomorrow_I_will_be_page_40.png,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد توحي بالراحة والاسترخاء، مع وجود كتاب مفتوح وألوان زاهية في الخلفية.

٢. الشعور الأساسي الظاهر هو سعادة.",ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,ﺓﺩﺎﻌﺳ,يبتسم الطفل ويبدو مستمتعًا وهو يمحو ما رسمه في كتابه.  يبدو أنه سعيد بالنتيجة.,2025-05-23 19:50:33
kenan_and_watermelon_head_page_30.png,ﺓﺄﺟﺎﻔﻣ,ﺐﻗﺮﺗ,ﺐﻗﺮﺗ,"١. الشخص يبدو مستغرقًا في التفكير، وهناك ورقة بها رسم وجه مبتسم، مما قد يشير إلى حالة من التفكير أو التخطيط.

٢. الشعور الأساسي الظاهر هو ""ترقب"".",ﻥﺰﺣ,ﻑﻮﺧ,ﻑﻮﺧ,"يختبئ الطفل تحت الطاولة، ووجهه غير مرئي، وأدواته مبعثرة على الأرض.  يبدو أنه يحاول الاختباء.

خوف",2025-05-23 19:51:49
open_tap_page_13.png,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,ﺓﺄﺟﺎﻔﻣ,"1. تعابير الوجه ولغة الجسد: الشخصية المائية تبدو غاضبة أو جادة، بينما الطفل يبدو متفاجئًا. السياق يشير إلى حوار حول إعادة استخدام المياه.
2. الشعور الأساسي الظاهر: مفاجأة.",ﺐﻀﻏ,ﻑﻮﺧ,ﻑﻮﺧ,"حاجبا قطرة الماء معقودان، وفمها مفتوح، وعيناها مفتوحتان على اتساعهما. الطفل في الماء يبدو خائفًا، عيناه مفتوحتان على اتساعهما، وخدوده حمراء.

خوف",2025-05-23 19:52:55
